category_path,emission_type,fuel_type,factor_value,unit_cn,source
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,炼焦烟煤,300,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,一般烟煤,300,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,褐煤,300,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,煤制品,300,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,焦炭,300,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,焦炉煤气,5,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,高炉煤气,5,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,转炉煤气,5,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 甲烷,甲烷,其他煤气,5,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,无烟煤,1.5,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,炼焦烟煤,1.5,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,一般烟煤,1.5,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,褐煤,1.5,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,煤制品,1.5,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,焦炭,1.5,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,焦炉煤气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,高炉煤气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,转炉煤气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 煤炭 > 氧化亚氮,氧化亚氮,其他煤气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,原油,73.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,汽油,69.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,煤油,71.9,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,柴油,74.1,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,燃料油,77.4,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,石脑油,73.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,润滑油,73.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,石蜡,73.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,溶剂油,73.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,石油沥青,80.7,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,石油焦,97.5,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,液化石油气,63.1,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,炼厂干气,57.6,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 二氧化碳,二氧化碳,其他石油制品,73.3,因子  (tCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,原油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,汽油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,煤油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,柴油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,燃料油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,石脑油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,润滑油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,石蜡,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,溶剂油,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,石油沥青,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,石油焦,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,液化石油气,5,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,炼厂干气,5,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 甲烷,甲烷,其他石油制品,10,因子 (kgCH₄/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,原油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,汽油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,煤油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,柴油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,燃料油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,石脑油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,润滑油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,石蜡,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,溶剂油,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,石油沥青,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,石油焦,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,液化石油气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,炼厂干气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 石油 > 氧化亚氮,氧化亚氮,其他石油制品,0.6,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 天然气 > 二氧化碳 > 天然气,天然气,天然气,57.2,因子  (tCO₂/TJ),本土化数据，油气企业抽样实测数据
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 天然气 > 二氧化碳 > 液化天然气,液化天然气,液化天然气,56.8,因子  (tCO₂/TJ),本土化数据，油气企业抽样实测数据
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 天然气 > 甲烷,甲烷,天然气,5,因子 (kgCH₄/TJ),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 化石燃料燃烧 > 天然气 > 氧化亚氮,氧化亚氮,天然气,0.1,因子 (kgN₂O/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,农业废弃物,100000,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,薪柴,112000,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,木炭,112000,因子  (kgCO₂/TJ),数据来源于《2006IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,动物粪便,100000,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,沼气,54600,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,其他生物气体,54600,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,城市生活垃圾(生物成因),100000,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,生物汽油,70800,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,生物柴油,70800,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 燃料燃烧 > 生物质燃料燃烧 > 二氧化碳,二氧化碳,其他液体生物质燃料,79600,因子  (kgCO₂/TJ),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 奶牛,奶牛,当年生,21.9,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 奶牛,奶牛,其它成年,58.6,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 奶牛,奶牛,繁殖母畜,109.9,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 肉牛,肉牛,其它成年,69.2,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 肉牛,肉牛,繁殖母畜,80.8,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 肉牛,肉牛,当年生,32.3,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 水牛,水牛,其它成年,72.3,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 水牛,水牛,繁殖母畜,110.6,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 水牛,水牛,当年生,22.5,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 绵羊,绵羊,当年生,6.5,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 绵羊,绵羊,繁殖母畜,12.0,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 山羊,山羊,当年生,7.1,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 山羊,山羊,繁殖母畜,13.1,因子 (kgCH₄/(head·year)),本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子 > 猪,猪,未指定,1.5,因子 (kgCH₄/(head·year)),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 奶牛,奶牛,饲料质量较好,5.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 奶牛,奶牛,饲料质量一般,6.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 奶牛,奶牛,饲料质量较差,7.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 肉牛,肉牛,饲料质量较好,5.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 肉牛,肉牛,饲料质量一般,6.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 肉牛,肉牛,饲料质量较差,7.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 水牛,水牛,饲料质量较好,5.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 水牛,水牛,饲料质量一般,6.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 水牛,水牛,饲料质量较差,7.5,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 育肥牛（饲料中日粮精饲料占比90%以上）,育肥牛（饲料中日粮精饲料占比90%以上）,饲料质量较好,2,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 育肥牛（饲料中日粮精饲料占比90%以上）,育肥牛（饲料中日粮精饲料占比90%以上）,饲料质量一般,3,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 育肥牛（饲料中日粮精饲料占比90%以上）,育肥牛（饲料中日粮精饲料占比90%以上）,饲料质量较差,4,因子 (%),"数据来源于《2006年IPCC清单指南》
"
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 羔羊（小于1岁）,羔羊（小于1岁）,饲料质量较好,3.5,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 羔羊（小于1岁）,羔羊（小于1岁）,饲料质量一般,4.5,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 羔羊（小于1岁）,羔羊（小于1岁）,饲料质量较差,5.5,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 成年羊,成年羊,饲料质量较好,5.5,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 成年羊,成年羊,饲料质量一般,6.5,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物肠道发酵 > 甲烷排放因子参数 > 甲烷转化因子 > 成年羊,成年羊,饲料质量较差,7.5,因子 (%),数据来源于《2006年IPCC清单指南》
农、林、牧、渔业 > 畜禽养殖企业 > 动物粪便管理 > 粪便管理排放因子 > 奶牛 > 甲烷,甲烷,北京、天津、河北、内蒙古、山西,7.46,因子 （kgCH₄/(head·year)）,本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物粪便管理 > 粪便管理排放因子 > 奶牛 > 甲烷,甲烷,辽宁、吉林、黑龙江,2.23,因子 （kgCH₄/(head·year)）,本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
农、林、牧、渔业 > 畜禽养殖企业 > 动物粪便管理 > 粪便管理排放因子 > 奶牛 > 甲烷,甲烷,上海、江苏、浙江、安徽、福建、江西、山东,8.33,因子 （kgCH₄/(head·year)）,本土化数据，数据来源于《温室气体排放核算与报告要求 第22部分：畜禽养殖企业》（GB/T 32151.22-2024）
