product_name,product_name_en,product_id,category,model,cf_value,cf_unit,quality_score,data_year,functional_unit
TBA Base Straw 200mL,TBA Base Straw 200mL,36490X0072019B,,TBA Base Straw 200mL,109.23,kgCO2e,4,2019,1000L
Glass Jar 1 390mL,Glass Jar 1 390mL,37191X0032019B,,Glass Jar 1 390mL,473.93,kgCO2e,4,2019,1000L
Steel Can 1 390mL,Steel Can 1 390mL,42931X0032019B,,Steel Can 1 390mL,441.61,kgCO2e,4,2019,1000L
PET bottle 2 1000mL,PET bottle 2 1000mL,36490X0192019B,,PET bottle 2 1000mL,107.89,kgCO2e,4,2019,1000L
HDPE bottle 2 1000mL,HDPE bottle 2 1000mL,36490X0202019B,,HDPE bottle 2 1000mL,105,kgCO2e,4,2019,1000L
TBA Edge LC 30 1000mL,TBA Edge LC 30 1000mL,36490X0212019B,,TBA Edge LC 30 1000mL,67.19,kgCO2e,4,2019,1000L
TBA Edge LC 30 plant-based 1000mL,TBA Edge LC 30 plant-based 1000mL,36490X0222019B,,TBA Edge LC 30 plant-based 1000mL,55.15,kgCO2e,4,2019,1000L
TB Mid Straw 200mL,TB Mid Straw 200mL,36490X0232019B,,TB Mid Straw 200mL,71.38,kgCO2e,4,2019,1000L
HDPE bottle 3 200mL,HDPE bottle 3 200mL,36490X0242019B,,HDPE bottle 3 200mL,267.68,kgCO2e,4,2019,1000L
HDPE bottle 3 200mL,HDPE bottle 3 200mL,36490X0252019B,,HDPE bottle 3 200mL,270.76,kgCO2e,4,2019,1000L
TB Mid Straw 200mL,TB Mid Straw 200mL,36490X0262019B,,TB Mid Straw 200mL,88.19,kgCO2e,4,2019,1000L
TBA Slim HC 23S 1000mL,TBA Slim HC 23S 1000mL,36490X0272019B,,TBA Slim HC 23S 1000mL,55.34,kgCO2e,4,2019,1000L
TR MiniPlus TC 34 1000mL,TR MiniPlus TC 34 1000mL,36490X0282019B,,TR MiniPlus TC 34 1000mL,69.28,kgCO2e,4,2019,1000L
PET bottle 3 1000mL,PET bottle 3 1000mL,36490X0292019B,,PET bottle 3 1000mL,122.67,kgCO2e,4,2019,1000L
Glass bottle 2 1000mL,Glass bottle 2 1000mL,37191X0052019B,,Glass bottle 2 1000mL,370.15,kgCO2e,4,2019,1000L
Glass bottle 2 1000mL,Glass bottle 2 1000mL,37191X0062019B,,Glass bottle 2 1000mL,371.48,kgCO2e,4,2019,1000L
TBA Edge LC 30 1000mL,TBA Edge LC 30 1000mL,36490X0302019B,,TBA Edge LC 30 1000mL,54.35,kgCO2e,4,2019,1000L
HDPE bottle 2 1000mL,HDPE bottle 2 1000mL,36490X0322019B,,HDPE bottle 2 1000mL,106.02,kgCO2e,4,2019,1000L
PET bottle 2 1000mL,PET bottle 2 1000mL,36490X0332019B,,PET bottle 2 1000mL,104.4,kgCO2e,4,2019,1000L
TPA DC 26 330mL,TPA DC 26 330mL,36490X0342019B,,TPA DC 26 330mL,149.94,kgCO2e,4,2019,1000L
SUP 1 200mL,SUP 1 200mL,36490X0352019B,,SUP 1 200mL,190.98,kgCO2e,4,2019,1000L
TPA Square StreamCup 500mL,TPA Square StreamCup 500mL,36490X0362019B,,TPA Square StreamCup 500mL,116.79,kgCO2e,4,2019,1000L
TT Midi C38 plant-based 500mL,TT Midi C38 plant-based 500mL,36490X0372019B,,TT Midi C38 plant-based 500mL,67.43,kgCO2e,4,2019,1000L
PET bottle 4 500mL,PET bottle 4 500mL,36490X0382019B,,PET bottle 4 500mL,126.14,kgCO2e,4,2019,1000L
Glass bottle 4 500mL,Glass bottle 4 500mL,37191X0072019B,,Glass bottle 4 500mL,328.49,kgCO2e,4,2019,1000L
Aluminum Can 1 500mL,Aluminum Can 1 500mL,42931X0042019B,,Aluminum Can 1 500mL,192.9,kgCO2e,4,2019,1000L
Aluminum Can 1 500mL,Aluminum Can 1 500mL,42931X0052019B,,Aluminum Can 1 500mL,157.09,kgCO2e,4,2019,1000L
Glass bottle 4 500mL,Glass bottle 4 500mL,37191X0082019B,,Glass bottle 4 500mL,330.02,kgCO2e,4,2019,1000L
PET bottle 4 500mL,PET bottle 4 500mL,36490X0392019B,,PET bottle 4 500mL,124.52,kgCO2e,4,2019,1000L
TT Midi C38 plant-based 500mL,TT Midi C38 plant-based 500mL,36490X0402019B,,TT Midi C38 plant-based 500mL,82.09,kgCO2e,4,2019,1000L
TPA Square StreamCup 500mL,TPA Square StreamCup 500mL,36490X0412019B,,TPA Square StreamCup 500mL,133.37,kgCO2e,4,2019,1000L
Tetra Recart 390mL,Tetra Recart 390mL,32153X0022019B,,Tetra Recart 390mL,81.24,kgCO2e,4,2019,1000L
Steel Can 1 390mL,Steel Can 1 390mL,42931X0062019B,,Steel Can 1 390mL,558.9,kgCO2e,4,2019,1000L
Glass Jar 1 390mL,Glass Jar 1 390mL,37191X0092019B,,Glass Jar 1 390mL,479.7,kgCO2e,4,2019,1000L
非烧结类砌体材料,Non-sintered masonry materials,37540X0032022B,,,180,kgCO2e,3,2022,m3
非烧结类砌体材料,Non-sintered masonry materials,37540X0022021B,,,18.7,kgCO2e,3,2021,m3
水泥重力水坝,Concrete gravity dam,00000X0012023A,,,1243,kgCO2e,4,2023,m3
PET瓶,PET bottles,00000X0022020A,,无,0.18619,kgCO2e,5,2020,个
聚丙烯酰胺,polyacrylamide,00000X0032019B,,,3.06231,kgCO2e,5,2019,kg
化纤织造及印染精加工产品,Dyed chemical fiber products,35560X0012011A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 人造纤维 > 人造单丝和纱条,,8,tCO2e,3,2011,公吨
涤纶长丝织物,Polyester filament fabric,35550X0012012A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 人造纤维 > 人造长丝纱（不包括缝纫线及多股线或缆线），不供零售,,25.7,tCO2e,4,2012,公吨
纱线产品（90%精棉10%山羊绒2/32公支半精纺）,"Yarn Product (90% combed cotton, 10% cashmere, 2/32 count, semi-worsted)",35550X0022023B,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 人造纤维 > 人造长丝纱（不包括缝纫线及多股线或缆线），不供零售,90%精棉10%山羊绒2/32公支半精纺,12.0006,kgCO2e,5,2023,kg
丙烯腈,Acrylonitrile,35499X0012006A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,7.88,kgCO2e,4,2006,kg
丙烯酸甲酯,Methyl Acrylate,35499X0022012A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,20.49,kgCO2e,4,2012,kg
轻质氧化镁LCM94,Light calcined magnesia,35499X0032017A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.79,kgCO2e,4,2017,kg
轻质氧化镁LCM92,Light calcined magnesia,35499X0042017A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.71,kgCO2e,4,2017,kg
轻质氧化镁LCM90,Light calcined magnesia,35499X0052017A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.63,kgCO2e,4,2017,kg
重质氧化镁SM97,Sintered magnesia,35499X0062017A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,2.6,kgCO2e,4,2017,kg
建筑秸秆基保温材料,Straw-based building insulation material,35499X0012010A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,0.32,kgCO2e,5,2010,kg
铜藻基固体酸催化剂,Sargassum Horneri Carbon-based Solid Acid Catalyst,35499X0022019A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,20.369,kgCO2e,4,2019,kg
卷发造型膜,Curl styling film,35499X0032020A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,100ml,0.36,kgCO2e,4,2020,瓶
制冷剂R-10逸散,Refrigerant R-10 fugacity,35499X0052023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1730,kgCO2e,5,2023,kg
制冷剂R-11逸散,Refrigerant R-11 fugacity,35499X0062023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,4660,kgCO2e,5,2023,kg
制冷剂R-13逸散,Refrigerant R-13 fugacity,35499X0072023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,13900,kgCO2e,5,2023,kg
制冷剂R-502逸散,Refrigerant R-502 fugacity,35499X0082023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,4785.92,kgCO2e,5,2023,kg
制冷剂R113逸散,Refrigerant R113 fugacity,35499X0092023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,5820,kgCO2e,5,2023,kg
制冷剂R-114逸散,Refrigerant R-114 fugacity,35499X0102023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,8590,kgCO2e,5,2023,kg
制冷剂R-115逸散,Refrigerant R-115 fugacity,35499X0112023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,7670,kgCO2e,5,2023,kg
制冷剂R-116逸散,Refrigerant R-116 fugacity,35499X0122023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,11100,kgCO2e,5,2023,kg
制冷剂R-125逸散,Refrigerant R-125 fugacity,35499X0132023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,3170,kgCO2e,5,2023,kg
制冷剂R-12B1逸散,Refrigerant R-12B1 fugacity,35499X0142023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1750,kgCO2e,5,2023,kg
制冷剂R-12B2逸散,Refrigerant R-12B2 fugacity,35499X0152023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,231,kgCO2e,5,2023,kg
制冷剂R-132c逸散,Refrigerant R-132c fugacity,35499X0162023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,338,kgCO2e,5,2023,kg
制冷剂R-14逸散,Refrigerant R-14 fugacity,35499X0172023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,6630,kgCO2e,5,2023,kg
制冷剂R-141b逸散,Refrigerant R-141b fugacity,35499X0182023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,782,kgCO2e,5,2023,kg
制冷剂R-142b逸散,Refrigerant R-142b fugacity,35499X0192023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1980,kgCO2e,5,2023,kg
制冷剂R-143a逸散,Refrigerant R-143a fugacity,35499X0202023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,4800,kgCO2e,5,2023,kg
制冷剂R-152a逸散,Refrigerant R-152a fugacity,35499X0212023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,138,kgCO2e,5,2023,kg
制冷剂R-21逸散,Refrigerant R-21 fugacity,35499X0222023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,148,kgCO2e,5,2023,kg
制冷剂R-218逸散,Refrigerant R-218 fugacity,35499X0232023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,8900,kgCO2e,5,2023,kg
制冷剂R-225ca逸散,Refrigerant R-225ca fugacity,35499X0242023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,127,kgCO2e,5,2023,kg
制冷剂R-22逸散,Refrigerant R-22 fugacity,35499X0252023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1760,kgCO2e,5,2023,kg
制冷剂R-225cb逸散,Refrigerant R-225cb fugacity,35499X0262023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,127,kgCO2e,5,2023,kg
制冷剂R-227ea逸散,Refrigerant R-227ea fugacity,35499X0272023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,3350,kgCO2e,5,2023,kg
制冷剂R-22B1逸散,Refrigerant R-22B1 fugacity,35499X0282023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,376,kgCO2e,5,2023,kg
制冷剂R-23逸散,Refrigerant R-23 fugacity,35499X0292023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,12400,kgCO2e,5,2023,kg
制冷剂R-236fa逸散,Refrigerant R-236fa fugacity,35499X0302023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,8060,kgCO2e,5,2023,kg
制冷剂R-245ca逸散,Refrigerant R-245ca fugacity,35499X0312023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,716,kgCO2e,5,2023,kg
制冷剂R-32逸散,Refrigerant R-32 fugacity,35499X0322023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,677,kgCO2e,5,2023,kg
制冷剂R-401A逸散,Refrigerant R-401A fugacity,35499X0332023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1129.92,kgCO2e,5,2023,kg
聚氯乙烯,Polyvinyl chloride,35499X0342011A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.765,kgCO2e,4,2011,kg
生物质制备航空煤油-气化FT合成加氢裂化-供热方案,Bio-FTJ - Heating,35499X0072018A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1939.47,kgCO2e,4,2018,公吨
生物质制备航空煤油-气化FT合成加氢裂化-供电方案,Bio-FTJ - Electric power,35499X0082018A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1059.06,kgCO2e,4,2018,公吨
生物油催化裂解-烯烃齐聚制航空煤油,Bio-PYJ,35499X0092018A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,2015.69,kgCO2e,4,2018,公吨
脱醇型有机硅胶粘剂,Dealcoholized silicone adhesive,35499X0672021C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,350.64,kgCO2e,5,2021,公吨
生物质航空煤油,Bio-FTJ ,35499X0682018C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,2.066,tCO2e,5,2018,公吨
碳酸二甲酯,DMC,35499X0692016C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.3,tCO2e,5,2016,公吨
制冷剂R50,Refrigerant R50,35499X0702023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,27.9,kgCO2e,5,2023,kg
制冷剂R744a,Refrigerant R744a,35499X0712023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,273,kgCO2e,5,2023,kg
制冷剂R30,Refrigerant R30,35499X0722023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,11.2,kgCO2e,5,2023,kg
制冷剂R40,Refrigerant R40,35499X0732023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,5.54,kgCO2e,5,2023,kg
制冷剂R41,Refrigerant R41,35499X0742023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,135,kgCO2e,5,2023,kg
制冷剂R32,Refrigerant R32,35499X0752023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,771,kgCO2e,5,2023,kg
制冷剂R401B,Refrigerant R401B,35499X0762023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1380.8,kgCO2e,5,2023,kg
制冷剂R401A,Refrigerant R401A,35499X0772023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1263.1,kgCO2e,5,2023,kg
制冷剂R400,Refrigerant R400,35499X0782023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,10492,kgCO2e,5,2023,kg
制冷剂,Refrigerant,35499X0792023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,R401C逸散,981.84,kgCO2e,5,2023,kg
制冷剂,Refrigerant,35499X0802023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,R404A逸散,4728,kgCO2e,5,2023,kg
制冷剂,Refrigerant,35499X0812023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,R405A逸散,5312.63,kgCO2e,5,2023,kg
制冷剂,Refrigerant,35499X0822023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,R407A逸散,2262.2,kgCO2e,5,2023,kg
制冷剂,Refrigerant,35499X0832023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,R407B逸散,3001.1,kgCO2e,5,2023,kg
甲基丙烯酸甲酯,Methyl methacrylate（MMA）,35499X0992022B,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,≥99.5%,5.41,kgCO2e,4,2022,kg
TG-DC-201聚氨酯结构胶组分B,TG-DC-201 polyurethane structural adhesive component B,35499X1002023B,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,5.21,kgCO2e,5,2023,kg
丙烯酸,Acrylic,35499X1012023A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,2.7,kgCO2e,4,2023,kg
化石基聚丙烯酸,Fossil-based polyacrylic acid,35499X1022013A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,2.74,kgCO2e,4,2013,kg
其他主要固体生物燃料,Other Major Solid Biofuels,35499X1032025C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.16,tCO2e,5,2025,公吨
生物汽油,Bio-gasoline,35499X1042025C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,1.91,tCO2e,5,2025,公吨
其他液体生物燃料,Other liquid biofuels,35499X1052025C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,2.18,tCO2e,5,2025,公吨
玻璃胶,Silicone sealant,35499X1062025C,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 其他未另列明的化学制品,,12.82,kgCO2e,5,2025,kg
气凝胶,Airgel,35420X0012021B,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 动物胶、明胶、胨及其衍生物，以及有关制品；酪朊酸盐及其他酪朊衍生物；清蛋白盐及其他清蛋白衍生物,,1.55,kgCO2e,3,2021,kg
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0022009A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,2688.78,tCO2e,4,2009,兆瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0032009A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,3054.6,tCO2e,4,2009,兆瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0042010A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,1.24,tCO2e,5,2010,Wp
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0052012A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,0.0509,kgCO2e,3,2012,千瓦时
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0062011A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,1793.46865,tCO2e,5,2011,兆瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0012016A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,2223.29,kgCO2e,4,2016,峰值千瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0072017A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,966.56,kgCO2e,4,2017,峰值千瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0082012A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,2228,kgCO2e,4,2012,峰值千瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0092012A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,2912,kgCO2e,4,2012,峰值千瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0102012A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,2204,kgCO2e,4,2012,峰值千瓦
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0112013A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,0.06013,kgCO2e,3,2013,千瓦时
多晶硅-光伏系统,Polycrystalline silicon-Photovoltaic system,35470X0122013A,首页 > 其他可运输货物，金属制品、机械和设备除外 > 其他化学制品；人造纤维 > 未另列明的化学制品 > 掺杂用于电子学的化学元素及化学化合物,,0.081,kgCO2e,4,2013,千瓦时
