activity_name,product_name,geography,time_period,sector,unit,cas_number
"2,4-dichlorotoluene production","2,4-dichlorotoluene",RER,2010 - 2025,Chemicals,kg,000095-73-8
"2,4-dichlorotoluene production","2,4-dichlorotoluene",RoW,2010 - 2025,Chemicals,kg,000095-73-8
"2,4-dinitrotoluene production","2,4-dinitrotoluene",RER,1989 - 2025,Chemicals,kg,000121-14-2
"2,4-dinitrotoluene production","2,4-dinitrotoluene",RoW,1989 - 2025,Chemicals,kg,000121-14-2
"2,4-di-tert-butylphenol production","2,4-di-tert-butylphenol",GLO,2015 - 2025,Chemicals,kg,000096-76-4
"2,5-dimethylhexane-2,5-dihydroperoxide production","2,5-dimethylhexane-2,5-dihydroperoxide",GLO,2015 - 2025,Chemicals,kg,003025-88-5
"2,6-di-tert-butylphenol production","2,6-di-tert-butylphenol",GLO,2015 - 2025,Chemicals,kg,000128-39-2
2-butanol production by hydration of butene,2-butanol,RER,1989 - 2025,Chemicals,kg,78-92-2
2-butanol production by hydration of butene,butane,RER,1989 - 2025,Chemicals,kg,000106-97-8
2-butanol production by hydration of butene,2-butanol,RoW,1989 - 2025,Chemicals,kg,78-92-2
2-butanol production by hydration of butene,butane,RoW,1989 - 2025,Chemicals,kg,000106-97-8
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",formic acid,RER,2010 - 2025,Chemicals,kg,64-18-6
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",2-cyclopentanone,RER,2010 - 2025,Chemicals,kg,000120-92-3
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",2-cyclopentanone,RoW,2010 - 2025,Chemicals,kg,000120-92-3
"2-cyclopentanone production, decarboxylative cyclization of adipic acid",formic acid,RoW,2010 - 2025,Chemicals,kg,64-18-6
"2-ethyl hexyl acrylate production, 2-ethylhexanol esterification with acrylic acid",2-ethyl hexyl acrylate,RER,2005 - 2025,Chemicals,kg,103-11-7
"2-ethyl hexyl acrylate production, 2-ethylhexanol esterification with acrylic acid",2-ethyl hexyl acrylate,RNA,2005 - 2025,Chemicals,kg,103-11-7
"2-ethyl hexyl acrylate production, 2-ethylhexanol esterification with acrylic acid",2-ethyl hexyl acrylate,UN-EASIA,2005 - 2025,Chemicals,kg,103-11-7
"2-ethyl hexyl acrylate production, 2-ethylhexanol esterification with acrylic acid",2-ethyl hexyl acrylate,UN-SEASIA,2005 - 2025,Chemicals,kg,103-11-7
"2-ethyl-2-hexenal production, butyraldehyde aldolization and subsequent dehydration",2-ethyl-2-hexenal,GLO,2015 - 2025,Chemicals,kg,645-62-5
"2-ethylhexanal production, 2-ethyl-2-hexenal partial hydrogenation",2-ethylhexanal,RAS,2015 - 2025,Chemicals,kg,123-05-7
"2-ethylhexanal production, 2-ethyl-2-hexenal partial hydrogenation",2-ethylhexanal,RER,2015 - 2025,Chemicals,kg,123-05-7
"2-ethylhexanal production, 2-ethyl-2-hexenal partial hydrogenation",2-ethylhexanal,RoW,2015 - 2025,Chemicals,kg,123-05-7
"2-ethylhexanal production, 2-ethyl-2-hexenal partial hydrogenation",2-ethylhexanal,US,2015 - 2025,Chemicals,kg,123-05-7
"2-ethylhexanol production, 2-ethylhexanal hydrogenation",2-ethylhexanol,RAS,2015 - 2025,Chemicals,kg,104-76-7
"2-ethylhexanol production, 2-ethylhexanal hydrogenation",2-ethylhexanol,RER,2015 - 2025,Chemicals,kg,104-76-7
"2-ethylhexanol production, 2-ethylhexanal hydrogenation",2-ethylhexanol,RoW,2015 - 2025,Chemicals,kg,104-76-7
"2-ethylhexanol production, 2-ethylhexanal hydrogenation",2-ethylhexanol,US,2015 - 2025,Chemicals,kg,104-76-7
2-methyl-2-butanol production,2-methyl-2-butanol,RER,1989 - 2025,Chemicals,kg,75-85-4
2-methyl-2-butanol production,2-methyl-2-butanol,RoW,1989 - 2025,Chemicals,kg,75-85-4
2-nitroaniline production,2-nitroaniline,RER,2010 - 2025,Chemicals,kg,000088-74-4
2-nitroaniline production,2-nitroaniline,RoW,2010 - 2025,Chemicals,kg,000088-74-4
2-pyridinol production,2-pyridinol,RER,2010 - 2025,Chemicals,kg,000142-08-5
2-pyridinol production,2-pyridinol,RoW,2010 - 2025,Chemicals,kg,000142-08-5
3-methyl-1-butyl acetate production,3-methyl-1-butyl acetate,RER,1989 - 2025,Chemicals,kg,123-92-2
3-methyl-1-butyl acetate production,3-methyl-1-butyl acetate,RoW,1989 - 2025,Chemicals,kg,123-92-2
3-methylpyridine production,3-methylpyridine,RER,2010 - 2025,Chemicals,kg,108-99-6
3-methylpyridine production,3-methylpyridine,RoW,2010 - 2025,Chemicals,kg,108-99-6
4-tert-butylbenzaldehyde production,4-tert-butylbenzaldehyde,RER,2010 - 2025,Chemicals,kg,000939-97-9
4-tert-butylbenzaldehyde production,4-tert-butylbenzaldehyde,RoW,2010 - 2025,Chemicals,kg,000939-97-9
4-tert-butyltoluene production,4-tert-butyltoluene,RER,2010 - 2025,Chemicals,kg,000098-51-1
4-tert-butyltoluene production,4-tert-butyltoluene,RoW,2010 - 2025,Chemicals,kg,000098-51-1
6-benzyladenine production,6-benzyladenine,GLO,2020 - 2025,Chemicals,kg,001214-39-7
"abrasive blasting, alumina, carbon steel substrate","abrasive blasting, alumina, carbon steel substrate",GLO,2022 - 2025,Metals,m2,
"absorption chiller production, 100kW","absorption chiller, 100kW",CH,2000 - 2025,Infrastructure & Machinery; Chemicals,unit,
"absorption chiller production, 100kW","absorption chiller, 100kW",RoW,2000 - 2025,Infrastructure & Machinery; Chemicals,unit,
"acetaldehyde production, ethylene oxidation",acetaldehyde,RER,1989 - 2025,Chemicals,kg,75-07-0
"acetaldehyde production, ethylene oxidation",acetaldehyde,RoW,1989 - 2025,Chemicals,kg,75-07-0
"acetamide-anillide-compound production, unspecified","acetamide-anillide-compound, unspecified",RER,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
"acetamide-anillide-compound production, unspecified","acetamide-anillide-compound, unspecified",RoW,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,
acetanilide production,acetanilide,RER,2010 - 2025,Chemicals,kg,000103-84-4
acetanilide production,acetanilide,RoW,2010 - 2025,Chemicals,kg,000103-84-4
"acetic acid production, from acetaldehyde oxidation",acetic acid,IN,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from acetaldehyde oxidation",methyl acetate,IN,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from acetaldehyde oxidation",acetic acid,RER,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from acetaldehyde oxidation",methyl acetate,RER,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from acetaldehyde oxidation",acetic acid,RoW,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from acetaldehyde oxidation",methyl acetate,RoW,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from acetaldehyde oxidation",acetic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from acetaldehyde oxidation",methyl acetate,UN-EASIA,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from acetaldehyde oxidation",methyl acetate,US,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from acetaldehyde oxidation",acetic acid,US,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from high-pressure methanol carbonylation",acetic acid,IN,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from high-pressure methanol carbonylation",acetic acid,RER,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from high-pressure methanol carbonylation",acetic acid,RoW,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from high-pressure methanol carbonylation",acetic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from high-pressure methanol carbonylation",acetic acid,US,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from low-pressure methanol carbonylation",propionic acid,IN,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from low-pressure methanol carbonylation",acetic acid,IN,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from low-pressure methanol carbonylation",propionic acid,RER,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from low-pressure methanol carbonylation",acetic acid,RER,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from low-pressure methanol carbonylation",acetic acid,RoW,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from low-pressure methanol carbonylation",propionic acid,RoW,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from low-pressure methanol carbonylation",acetic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from low-pressure methanol carbonylation",propionic acid,UN-EASIA,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from low-pressure methanol carbonylation",propionic acid,US,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from low-pressure methanol carbonylation",acetic acid,US,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from naphtha oxidation",formic acid,IN,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from naphtha oxidation",propionic acid,IN,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from naphtha oxidation",butyric acid,IN,1989 - 2025,Chemicals,kg,107-92-6
"acetic acid production, from naphtha oxidation",succinic acid,IN,1989 - 2025,Chemicals,kg,000110-15-6
"acetic acid production, from naphtha oxidation",acetic acid,IN,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from naphtha oxidation",formic acid,RER,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from naphtha oxidation",succinic acid,RER,1989 - 2025,Chemicals,kg,000110-15-6
"acetic acid production, from naphtha oxidation",acetic acid,RER,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from naphtha oxidation",propionic acid,RER,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from naphtha oxidation",butyric acid,RER,1989 - 2025,Chemicals,kg,107-92-6
"acetic acid production, from naphtha oxidation",propionic acid,RoW,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from naphtha oxidation",acetic acid,RoW,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from naphtha oxidation",formic acid,RoW,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from naphtha oxidation",succinic acid,RoW,1989 - 2025,Chemicals,kg,000110-15-6
"acetic acid production, from naphtha oxidation",butyric acid,RoW,1989 - 2025,Chemicals,kg,107-92-6
"acetic acid production, from naphtha oxidation",formic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from naphtha oxidation",propionic acid,UN-EASIA,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from naphtha oxidation",butyric acid,UN-EASIA,1989 - 2025,Chemicals,kg,107-92-6
"acetic acid production, from naphtha oxidation",acetic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from naphtha oxidation",succinic acid,UN-EASIA,1989 - 2025,Chemicals,kg,000110-15-6
"acetic acid production, from naphtha oxidation",succinic acid,US,1989 - 2025,Chemicals,kg,000110-15-6
"acetic acid production, from naphtha oxidation",formic acid,US,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from naphtha oxidation",propionic acid,US,1989 - 2025,Chemicals,kg,000079-09-4
"acetic acid production, from naphtha oxidation",acetic acid,US,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from naphtha oxidation",butyric acid,US,1989 - 2025,Chemicals,kg,107-92-6
"acetic acid production, from n-butane oxidation",acetic acid,IN,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from n-butane oxidation",ethyl acetate,IN,1989 - 2025,Chemicals,kg,000141-78-6
"acetic acid production, from n-butane oxidation","acetone, liquid",IN,1989 - 2025,Chemicals,kg,67-64-1
"acetic acid production, from n-butane oxidation",methyl ethyl ketone,IN,1989 - 2025,Chemicals,kg,78-93-3
"acetic acid production, from n-butane oxidation",formic acid,IN,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from n-butane oxidation",methyl acetate,IN,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from n-butane oxidation",methyl acetate,RER,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from n-butane oxidation","acetone, liquid",RER,1989 - 2025,Chemicals,kg,67-64-1
"acetic acid production, from n-butane oxidation",methyl ethyl ketone,RER,1989 - 2025,Chemicals,kg,78-93-3
"acetic acid production, from n-butane oxidation",ethyl acetate,RER,1989 - 2025,Chemicals,kg,000141-78-6
"acetic acid production, from n-butane oxidation",acetic acid,RER,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from n-butane oxidation",formic acid,RER,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from n-butane oxidation","acetone, liquid",RoW,1989 - 2025,Chemicals,kg,67-64-1
"acetic acid production, from n-butane oxidation",methyl acetate,RoW,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from n-butane oxidation",ethyl acetate,RoW,1989 - 2025,Chemicals,kg,000141-78-6
"acetic acid production, from n-butane oxidation",methyl ethyl ketone,RoW,1989 - 2025,Chemicals,kg,78-93-3
"acetic acid production, from n-butane oxidation",formic acid,RoW,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from n-butane oxidation",acetic acid,RoW,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from n-butane oxidation",formic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from n-butane oxidation",acetic acid,UN-EASIA,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from n-butane oxidation",methyl acetate,UN-EASIA,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from n-butane oxidation","acetone, liquid",UN-EASIA,1989 - 2025,Chemicals,kg,67-64-1
"acetic acid production, from n-butane oxidation",methyl ethyl ketone,UN-EASIA,1989 - 2025,Chemicals,kg,78-93-3
"acetic acid production, from n-butane oxidation",ethyl acetate,UN-EASIA,1989 - 2025,Chemicals,kg,000141-78-6
"acetic acid production, from n-butane oxidation",methyl acetate,US,1989 - 2025,Chemicals,kg,79-20-9
"acetic acid production, from n-butane oxidation",ethyl acetate,US,1989 - 2025,Chemicals,kg,000141-78-6
"acetic acid production, from n-butane oxidation","acetone, liquid",US,1989 - 2025,Chemicals,kg,67-64-1
"acetic acid production, from n-butane oxidation",formic acid,US,1989 - 2025,Chemicals,kg,64-18-6
"acetic acid production, from n-butane oxidation",acetic acid,US,1989 - 2025,Chemicals,kg,64-19-7
"acetic acid production, from n-butane oxidation",methyl ethyl ketone,US,1989 - 2025,Chemicals,kg,78-93-3
"acetic anhydride production, acetaldehyde oxidation",acetic acid,RER,1989 - 2025,Chemicals,kg,64-19-7
"acetic anhydride production, acetaldehyde oxidation",acetic anhydride,RER,1989 - 2025,Chemicals,kg,108-24-7
"acetic anhydride production, acetaldehyde oxidation",acetic acid,RoW,1989 - 2025,Chemicals,kg,64-19-7
"acetic anhydride production, acetaldehyde oxidation",acetic anhydride,RoW,1989 - 2025,Chemicals,kg,108-24-7
"acetic anhydride production, acetic acid pyrolysis, via ketene intermediate",acetic anhydride,RER,1989 - 2025,Chemicals,kg,108-24-7
"acetic anhydride production, acetic acid pyrolysis, via ketene intermediate",acetic anhydride,RoW,1989 - 2025,Chemicals,kg,108-24-7
acetoacetic acid production,acetoacetic acid,RER,2010 - 2025,Chemicals,kg,000541-50-4
acetoacetic acid production,acetoacetic acid,RoW,2010 - 2025,Chemicals,kg,000541-50-4
acetone cyanohydrin production,acetone cyanohydrin,RER,1992 - 2025,Chemicals,kg,000075-86-5
acetone cyanohydrin production,acetone cyanohydrin,RoW,1992 - 2025,Chemicals,kg,000075-86-5
"acetone production, from isopropanol","acetone, liquid",RER,2015 - 2025,Chemicals,kg,67-64-1
"acetone production, from isopropanol","acetone, liquid",RoW,2015 - 2025,Chemicals,kg,67-64-1
acetonitrile to generic market for solvent for chromatography analysis,solvent for chromatography analysis,GLO,2005 - 2025,Chemicals,kg,
acetyl chloride production,acetyl chloride,RER,2010 - 2025,Chemicals,kg,000075-36-5
acetyl chloride production,acetyl chloride,RoW,2010 - 2025,Chemicals,kg,000075-36-5
"acetylene production, from natural gas, operated with a water quench","synthesis gas, 3 to 1",RER,2012 - 2025,Chemicals,kg,
"acetylene production, from natural gas, operated with a water quench",acetylene,RER,2012 - 2025,Chemicals,kg,74-86-2
"acetylene production, from natural gas, operated with a water quench",acetylene,RoW,2012 - 2025,Chemicals,kg,74-86-2
"acetylene production, from natural gas, operated with a water quench","synthesis gas, 3 to 1",RoW,2012 - 2025,Chemicals,kg,
"acetylene production, from natural gas, operated with an oil quench",coke,RER,2012 - 2025,Chemicals,MJ,
"acetylene production, from natural gas, operated with an oil quench",acetylene,RER,2012 - 2025,Chemicals,kg,74-86-2
"acetylene production, from natural gas, operated with an oil quench","heat, from steam, in chemical industry",RER,2012 - 2025,Chemicals,MJ,
"acetylene production, from natural gas, operated with an oil quench","synthesis gas, 3 to 1",RER,2012 - 2025,Chemicals,kg,
"acetylene production, from natural gas, operated with an oil quench","heat, from steam, in chemical industry",RoW,2012 - 2025,Chemicals,MJ,
"acetylene production, from natural gas, operated with an oil quench",coke,RoW,2012 - 2025,Chemicals,MJ,
"acetylene production, from natural gas, operated with an oil quench","synthesis gas, 3 to 1",RoW,2012 - 2025,Chemicals,kg,
"acetylene production, from natural gas, operated with an oil quench",acetylene,RoW,2012 - 2025,Chemicals,kg,74-86-2
aclonifen production,aclonifen,RER,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,074070-46-5
aclonifen production,aclonifen,RoW,2000 - 2025,Chemicals; Agriculture & Animal Husbandry,kg,074070-46-5
acrolein production,acrolein,RER,2010 - 2025,Chemicals,kg,000107-02-8
acrolein production,acrolein,RoW,2010 - 2025,Chemicals,kg,000107-02-8
"acrylic acid production, propylene oxidation",acetic acid,AR,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,AR,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acrylic acid,BR,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,BR,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acetic acid,CN,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,CN,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acrylic acid,CO,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,CO,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acetic acid,DE,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,DE,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,FR,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,FR,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,GB,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,GB,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acrylic acid,ID,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,ID,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acetic acid,IN,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,IN,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acrylic acid,JP,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,JP,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,KR,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,KR,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,MX,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,MX,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acetic acid,MY,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,MY,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acrylic acid,RoE,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,RoE,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acetic acid,SA,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,SA,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,SG,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,SG,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,TH,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,TH,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,TW,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,TW,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,US,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,US,1989 - 2025,Chemicals,kg,79-10-7
"acrylic acid production, propylene oxidation",acetic acid,ZA,1989 - 2025,Chemicals,kg,64-19-7
"acrylic acid production, propylene oxidation",acrylic acid,ZA,1989 - 2025,Chemicals,kg,79-10-7
"acrylic binder production, with water, in 54% solution state","acrylic binder, with water, in 54% solution state",RER,1995 - 2025,Chemicals,kg,
"acrylic binder production, with water, in 54% solution state","acrylic binder, with water, in 54% solution state",RoW,1995 - 2025,Chemicals,kg,
"acrylic dispersion production, with water, in 58% solution state","acrylic dispersion, with water, in 58% solution state",RER,1996 - 2025,Chemicals,kg,
"acrylic dispersion production, with water, in 58% solution state","acrylic dispersion, with water, in 58% solution state",RoW,1996 - 2025,Chemicals,kg,
acrylic filler production,acrylic filler,RER,2000 - 2025,Chemicals,kg,
acrylic filler production,acrylic filler,RoW,2000 - 2025,Chemicals,kg,
"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",RER,1995 - 2025,Chemicals,kg,
"acrylic varnish production, with water, in 53% solution state","acrylic varnish, with water, in 53% solution state",RoW,1995 - 2025,Chemicals,kg,
"acrylonitrile production, Sohio process",acetonitrile,RER,1989 - 2025,Chemicals,kg,75-05-8
"acrylonitrile production, Sohio process",hydrogen cyanide,RER,1989 - 2025,Chemicals,kg,74-90-8
"acrylonitrile production, Sohio process",acrylonitrile,RER,1989 - 2025,Chemicals,kg,107-13-1
"acrylonitrile production, Sohio process",acetonitrile,RoW,1989 - 2025,Chemicals,kg,75-05-8
"acrylonitrile production, Sohio process",hydrogen cyanide,RoW,1989 - 2025,Chemicals,kg,74-90-8
"acrylonitrile production, Sohio process",acrylonitrile,RoW,1989 - 2025,Chemicals,kg,107-13-1
acrylonitrile-butadiene-styrene copolymer production,acrylonitrile-butadiene-styrene copolymer,RER,1996 - 2025,Chemicals,kg,009003-56-9
acrylonitrile-butadiene-styrene copolymer production,acrylonitrile-butadiene-styrene copolymer,RoW,1996 - 2025,Chemicals,kg,009003-56-9
"acrylonitrile-butadiene-styrene, pellets, recycled to generic market for acrylonitrile-butadiene-styrene copolymer",acrylonitrile-butadiene-styrene copolymer,RER,2023 - 2025,Chemicals,kg,009003-56-9
activated bentonite production,activated bentonite,DE,1997 - 2025,Chemicals,kg,
activated bentonite production,activated bentonite,RoW,1997 - 2025,Chemicals,kg,
"activated carbon production, granular from hard coal","activated carbon, granular",RER,2005 - 2025,Chemicals,kg,7440-44-0
"activated carbon production, granular from hard coal","activated carbon, granular",RoW,2005 - 2025,Chemicals,kg,7440-44-0
activated silica production,"sodium sulfate, anhydrite",GLO,2012 - 2025,Chemicals,kg,7757-82-6
activated silica production,activated silica,GLO,2012 - 2025,Chemicals,kg,
adhesive mortar production,adhesive mortar,CH,2000 - 2025,Cement & Concrete,kg,
adhesive mortar production,adhesive mortar,RoW,2000 - 2025,Cement & Concrete,kg,
"adhesive production, for metal","adhesive, for metal",DE,1996 - 2025,Chemicals; Metals,kg,
"adhesive production, for metal","adhesive, for metal",RoW,1996 - 2025,Chemicals; Metals,kg,
adipic acid production,adipic acid,RER,1997 - 2025,Chemicals,kg,124-04-9
adipic acid production,succinic acid,RER,1997 - 2025,Chemicals,kg,000110-15-6
